gratis	adj:free|adv:free
eris	n:Eris|v:you are
panza	n:paunch
unicameral	adj:unicameral
folk	n:folk
aura	n:aura
casual	adj:casual
chipotle	n:chipotle
irrefutable	adj:irrefutable
enema	n:enema
intercontinental	adj:intercontinental
know-how	n:know-how
outfit	n:outfit
gran	adj:apocopic form of grande
voucher	n:voucher
penal	n:a kind of prison|adj:penal
alveolar	n:alveolar|adj:alveolar
sensible	adj:sensitive
establishment	n:establishment
terrible	adj:terrible
aerosol	n:aerosol
zonal	adj:zonal
trauma	n:trauma
anastasia	n:a female given name
anorexia	n:anorexia
polka	n:polka
lipo-	?:lipo-
necrosis	n:necrosis
sarcoma	n:sarcoma
diploma	n:diploma
dogma	n:dogma
edema	n:edema
epidermis	n:epidermis
ethos	n:ethos
halitosis	n:halitosis
carcinoma	n:carcinoma
cinema	n:cinema|adj:related to movement
cleopatra	n:Cleopatra
climax	n:climax
cosmos	n:universe
margarita	n:daisy
melanoma	n:melanoma
mentor	n:mentor
mimesis	n:mimesis
osteoporosis	n:osteoporosis
panorama	n:scenery
paranoia	n:paranoia
praxis	n:praxis
chakra	n:chakra
karma	n:karma
yoga	n:yoga
mandala	n:mandala
sarong	n:sarong
absceso	n:abscess
acero	n:steel
cojones	n:testicles|adv:the fuck|?:fuck!
bungalow	n:bungalow
veranda	n:veranda
maraca	n:a maraca
caldera	n:cauldron
gaucho	n:cowboy|adj:possessing traditional
puma	n:cougar
leprechaun	n:leprechaun
ombudsman	n:ombudsman
alta	n:certificate of discharge
orca	n:orca
angulo	n:a surname
apud	prep:apud
collie	n:collie
-ingo	?:a diminutive suffix
mal-	?:bad
atenta	v:(“to attack, to strike”):
brandy	n:brandy
gin	n:gin
roster	n:roster
avara	n:miser
bando	n:faction
pita	n:century plant
barbo	n:barbel
basto	n:clubs|adj:rough
accesar	v:to access something
lungo	adj:long
bismuto	n:bismuth
blonda	n:lace
boato	n:pomp
boli	n:pen
bordo	n:side
boto	adj:blunt
anti	adj:anti-
sur	n:south
chayote	n:chayote
peyote	n:peyote
himalaya	n:Himalayas
bruto	n:brute|adj:ignorant
background	n:background
jazzy	adj:jazzy
chicago	n:Chicago
tabasco	n:Tabasco
tequila	n:tequila
diorama	n:diorama
bufo	n:buffo
bulo	n:canard
bulbo	n:bulb
burdo	adj:coarse
gentil	n:gentile|adj:kind
nylon	n:nylon
irritable	adj:irritable
titi	n:chick
periodo	n:period (of time)
cedro	n:cedar
cemento	n:cement
invite	n:invite
lucido	adj:lucid
multilateral	adj:multilateral
super-	?:super-
plebe	n:plebeians
highlight	n:highlight
tv	n:TV
azo-	?:azo-
histo-	?:histo-
paracetamol	n:paracetamol
podcast	n:podcast
federal	adj:federal
vulnerable	adj:vulnerable
dulce	n:candy|adj:sweet
happening	n:happening
arteriosclerosis	n:arteriosclerosis
glaucoma	n:glaucoma
911	n:911
boston	n:Boston
hitler	n:Hitler
helio-	?:helio-
detritus	n:detritus
mondo	adj:net
gerundio	n:gerund
sar	n:HRH
mabel	n:a female given name
noel	n:a surname
holding	n:holding company
troupe	n:troupe
rating	n:class
insuperable	adj:insuperable
cloaca	n:sewer
luminoso	adj:luminous
hemo-	?:haemo-
standing	n:status
forma	n:shape
fagot	n:bassoon
cisco	n:culm
brutal	adj:brutal
hawaiano	n:Hawaiian|adj:Hawaiian
severo	adj:severe
soluble	adj:soluble
patchwork	n:patchwork
pastel	n:pastry
furor	n:fury
facial	adj:facial
cultural	adj:culture
controversial	adj:controversial
backlog	n:backlog
tropical	adj:tropical
conceptual	adj:conceptual
bozo	n:down
árabe	n:Arab|adj:Arabic
comal	n:comal
problema	n:problem
edificio	n:building
rai	n:ride
mina	n:mine
fecal	adj:fecal
fiesta	n:party
fiducia	n:trust
weblog	n:weblog
naso	n:nose
avaro	n:miser|adj:avaricious
horrible	adj:horrible
hetero	n:hetero|adj:hetero
visual	adj:visual
polio	n:poliomyelitis
intangible	adj:intangible
sales	n:a surname from Catalan
nasa	n:weir
zorro	n:fox|adj:clever
fuzz	n:fuzz
frizz	n:frizz
sesqui-	?:1½
carolina	n:a female given name
columbia	n:Columbia
ángeles	n:angel
arsenal	n:arsenal
armadillo	n:armadillo
cartel	n:poster
flora	n:flora
habitante	n:inhabitant|adj:inhabiting
auckland	n:Auckland
fondo	n:bottom
fonema	n:phoneme
caldo	n:a clear soup
tener	v:to be taken
neurosis	n:neurosis
toi	v:apheretic form of estoy
salir	v:to be out
terminar	v:to end up
cascabel	n:jingle bell
zip	n:zip
giro	n:turn
gens	n:gens
pongo	n:orangutan
ventral	adj:ventral
chino	n:Chinese person|adj:Chinese
campus	n:campus
-aje	?:forms nouns
isaac	n:Isaac
pena	n:punishment
piedad	n:piety
haber	n:asset|v:to be necessary
iso-	?:iso-
francisco	n:a male given name
spoiler	n:spoiler
casino	n:casino
walkman	n:walkman
caliente	adj:hot
observable	adj:observable
pose	n:pose
boga	n:rowing
dj	n:DJ
octagonal	adj:octagonal
octavo	n:eighth|adj:eighth
ocular	n:eyepiece|adj:ocular
romance	n:romance|adj:Romance
precursor	n:precursor|adj:precursory
revolver	v:to turn over
cartoon	n:cartoon
quad	n:all-terrain vehicle
marvin	n:a male given name
-ico	?:diminutive suffix
territorio	n:territory
sereno	n:nightwatchman|adj:serene
meta-	?:meta-
cosa	n:thing
judas	n:traitor
arable	adj:arable
interlocutor	n:interlocutor
fashionista	n:fashionista
beijing	n:synonym of Pekín
mamífero	n:mammal|adj:mammalian
habitué	n:habitué
flauta	n:flute
oratorio	adj:oratorical
mario	n:a male given name
ya	adv:yet|?:whether (something) or
austin	n:Austin
desde	prep:since
gore	n:gore|adj:gore
roedor	n:rodent|adj:gnawing
gracioso	n:joker|adj:funny
porte	n:carriage
beirut	n:Beirut
nunca	adv:never
matemática	n:a female mathematician
encontrar	v:to be located
samuel	n:Samuel
tá	?:okay
kilowatt	n:kilowatt
touché	adj:touché
gol	n:goal|?:goal!
inglés	n:English|adj:English
oficina	n:office
adjuntar	v:to enclose
adicionar	v:to add
hemo	n:heme
fino	adj:fine
volar	v:to get carried away
basa	n:a surname from Basque
donar	v:to donate
ronda	n:round
dorso	n:back
vivar	n:a surname|v:to applaud
parto	n:childbirth|adj:Parthian
trivial	adj:trivial
laborar	v:to labor
multa	n:fine
impromptu	n:impromptu
syllabus	n:syllabus
walkie-talkie	n:walkie-talkie
voyeur	n:voyeur
esto	?:this
portar	v:to wear
croquis	n:a sketch
gabacho	n:a Frenchman|adj:Pyrenean
ludo	n:Ludo
plano	n:plane|adj:plane
sheriff	n:sheriff
oro	n:gold.|adj:or
cerebro	n:brain
pomo	n:knob
importe	n:price
plena	n:a plain
roto	n:a broken thing or person|adj:broken
restar	v:to return
nulo	adj:null
elle	n:name of the digraph Ll/ll|?:they
minuto	n:minute
dns	n:ccTLD
notar	v:to show
noto	n:southerly
impasse	n:impasse
copia	n:copy
argento	n:silver
absenta	n:absinthe
aceptar	v:to come to terms with
counter	n:airport service counter
freestyle	n:freestyle
tac	n:CAT scan
instar	v:to urge
europeo	n:European|adj:European
bueno	n:a surname|adj:good|?:okay
vintage	adj:vintage (classic
varietal	n:varietal|adj:varietal
semicircular	adj:semicircular
sincero	adj:sincere
gluten	n:gluten
lifestyle	n:lifestyle
cheesecake	n:cheesecake
estudiante	n:student|adj:that studies
vasto	adj:vast
birra	n:beer
sé	?:yes
dinosaurio	n:dinosaur
neta	n:true
mainframe	n:mainframe
apuntar	v:to be in
sola	n:a surname
anticipar	v:to bring forward
macro	n:macro
suave	adj:smooth
vulva	n:vulva
tremor	n:tremor
extracurricular	adj:extracurricular
taekwondo	n:taekwondo
ro	n:rho
polvo	n:dust (fine
ovo	n:egg-shaped decoration
respiro	n:breath
glas	adj:only used in azúcar glas
debut	n:debut
erc	n:Republican Left of Catalonia
memorial	n:memorial
regional	adj:regional
mainstream	n:mainstream
timeline	n:timeline
vaso	n:drinking glass
whopper	n:giant hamburger patty
buena	n:inheritance
naco	n:smashed potatoes|adj:indigenous
anemia	n:anemia
mononucleosis	n:mononucleosis
anorak	n:anorak
cruising	n:cruising
venir	v:to be due
poste	n:post (of wood)
entre	prep:between
concertina	n:concertina
doctoral	adj:doctoral
colonial	adj:colonial
censor	n:censor|adj:censoring
municipal	adj:municipal
bravura	n:courage
compost	n:compost
audio	n:audio
ahora	adv:now|?:now...now
ahorita	adv:now, right now
arda	n:squirrel
cantina	n:saloon
marea	n:tide
papo	n:vagina
tiara	n:tiara
sticker	n:sticker
limbo	n:limbo
anca	n:haunch
bowling	n:bowling alley
citar	v:to schedule
napalm	n:napalm
parking	n:car park (UK)
insular	n:islander|adj:insular
karate	n:karate
tofu	n:tofu
disparate	n:nonsense
seminal	adj:seminal
dialectal	adj:dialectal
popo	n:poo
tribal	adj:tribal
venial	adj:venial
malo	n:bad guy|adj:bad
carla	n:a female given name
rictus	n:sneer
usable	adj:usable
junto	adj:together|adv:together|prep:next to
formidable	adj:formidable
vomitar	v:to vomit
gustar	v:to like
verde	n:green|adj:green
izquierda	n:left
derecha	n:right
cuenta	n:count
servicio	n:service
noche	n:night|adv:after dark
tablet	n:tablet
tackle	n:tackle
gradual	n:gradual|adj:gradual
vendetta	n:revenge
venerable	adj:venerable
francés	n:Frenchman|adj:French
joven	n:youth|adj:young
guapo	n:arrowroot|adj:good-looking
viejo	n:an old person|adj:old
periquito	n:budgerigar
cocina	n:kitchen
salón	n:living room
dormitorio	n:dormitory
antiguo	adj:old
niebla	n:fog
llover	v:to rain
fumar	v:to smoke
coche	n:car
vice-	?:vice-
lota	n:burbot
lesbiana	n:lesbian
icc	n:ICC
miami	n:Miami
playback	n:lip-syncing
sub-	?:sub-
peche	n:skinny person|adj:skinny
vista	n:sight
voluble	adj:voluble
ulterior	adj:ulterior
ultra	n:ultra|adj:extreme|adv:furthermore
umbilical	adj:umbilical
elogio	n:praise
mierda	n:shit
lgbt	adj:LGBT
altiplano	n:a high plateau
anteayer	adv:day before yesterday
ayer	n:yesterday|adv:yesterday
mañana	n:the morning|adv:tomorrow
maratón	n:marathon
lógica	n:logic
lógico	n:logician|adj:logical
logística	n:logistics
logístico	adj:logistical
lodo	n:mud
delito	n:crime
camilla	n:stretcher
candado	n:lock
campana	n:bell
campanada	n:peal
curvo	adj:curved
curvar	v:to bend
curva	n:curve
clon	n:clone
clavado	n:dive|adj:nailed|?:precisely!
clavadista	n:diver
cohete	n:skyrocket
pecado	n:sin
pecar	v:to sin
bocadillo	n:submarine sandwich
estival	adj:summery
salve	?:hello
angina	n:angina
septicemia	n:septicemia
peces	n:Pisces
prez	n:honour
desayuno	n:breakfast
vivir	n:life|v:to make a living
cubrecama	n:bedspread
campo	n:countryside
ciudad	n:city
potasio	n:potassium
tranquilo	adj:calm|?:relax! calm down!
tranquillo	n:knack
zurdo	n:left-handed person|adj:left-handed
tocar	v:to have to do something
zurcir	v:to screw
zumo	n:juice
zumbido	n:buzz
fulano	n:Joe Schmoe
mengano	n:what's-his-name
zacate	n:grass
zafar	v:to get out of
zafio	adj:coarse
zafiro	n:sapphire
zaga	n:rear
zaguán	n:vestibule
zalamero	n:flatterer|adj:smarmy
bailar	v:to dance
zambiano	n:Zambian|adj:Zambian
raza	n:race
zambullida	n:dive
brazo	n:arm
zanahoria	n:carrot
zancada	n:step
puño	n:fist
zancadilla	n:ruse
zancudo	n:mosquito|adj:long-legged
zángano	n:drone bee
zanja	n:ditch
zanjar	v:to remove difficulties
zapallo	n:zucchini
zapata	n:brake shoe
zapatería	n:shoe factory
zapatero	n:shoemaker|adj:tough
zapatilla	n:slipper
zapato	n:shoe
zar	n:tsar
zarina	n:tsarina
zarcillo	n:tendril
zarigüeya	n:opossum
zarista	n:czarist|adj:czarist
zarpa	n:paw
zarpar	v:to embark
zarza	n:blackberry bush
zarzamora	n:blackberry
zimbabuense	n:Zimbabwean|adj:Zimbabwean
zumbar	v:to hit
zumaque	n:sumac
zulú	n:Zulu|adj:Zulu
zueco	n:clog|adj:left-handed
zozobrar	v:to worry
zozobra	n:capsizing
zorzal	n:thrush
zorrillo	n:skunk
zoquete	n:blockhead
zopilote	n:a zopilote
zoólogo	n:zoologist
zoológico	n:zoo|adj:zoological
zoología	n:zoology
zombi	n:zombie
zócalo	n:plinth
yacer	v:to have sex
yacimiento	n:deposit
yarda	n:English or American yard
gaviota	n:gull
yate	n:yacht
milpa	n:cornfield
yedra	n:ivy
suerte	n:luck|?:good luck!
paloma	n:dove|adj:difficult
pájaro	n:bird
rancho	n:ranch
vaquero	n:cowherd|adj:cowboy
yegua	n:mare
vaquera	n:cowgirl
oso	n:bear
yelmo	n:helmet
yema	n:egg yolk
yemenita	n:Yemenite|adj:Yemenite
yermo	n:wasteland|adj:barren
yerno	n:son-in-law
yerro	n:error
yesca	n:tinder
yeso	n:plaster
yodo	n:iodine
yoduro	n:iodide
yogui	n:yogi
yogur	n:yogurt
yola	n:yawl
yuca	n:yucca plant|adj:difficult
yucateco	adj:of
yugo	n:yoke
yugoslavo	n:Yugoslav|adj:Yugoslavian
yugular	n:jugular|v:to cut someone's throat|adj:jugular
yungas	n:tropical valleys
yunque	n:anvil
yunta	n:a pair or yoke of oxen
yute	n:jute
yuxtaposición	n:juxtaposition
paño	n:cloth
chulo	n:pimp|adj:cute
mentira	n:lie
maldito	n:bastard|adj:cursed|?:damn
baile	n:dance
hambre	n:hunger
mural	n:mural|adj:mural
caja	n:box
arriba	adv:above|?:come on!
muerte	n:death
minimal	adj:minimalistic
silicio	n:silicon
riso	n:pleasant laugh
xenofobia	n:xenophobia
xenófobo	n:xenophobe|adj:xenophobic
xenón	n:xenon
xilófono	n:xylophone
utópico	adj:utopian
utopía	n:utopia
utilizar	v:to use
utilización	n:utilization
utilizable	adj:usable
utilitario	n:small|adj:utilitarian
utilidad	n:utility
útil	adj:helpful
útero	n:uterus
uterino	adj:uterine
utensilio	n:utensil
usurpar	v:to usurp
usurpación	n:usurpation
usurpador	n:usurper
usurero	n:usurer
usura	n:usury
usuario	n:user
usted	?:you
uso	n:use
usar	v:to be used
usanza	n:usage
parental	adj:parental
quarterback	n:quarterback
tweet	n:tweet
mentiroso	n:liar|adj:having lies
untar	v:To get smeared
uña	n:fingernail
uranio	n:uranium
urano	n:Uranus
urbanidad	n:politeness
urbanización	n:housing development
urbano	n:a male given name|adj:urban
urbe	n:metropolis
urdimbre	n:warp
uretra	n:urethra
urgencia	n:urgency
computable	adj:computable
urgente	adj:urgent
urgentemente	adv:urgently
urgir	v:to be urgent
urinario	n:urinal|adj:urinary
urna	n:urn
urogallo	n:wood grouse
urticaria	n:urticaria
uruguayo	n:Uruguayan|adj:Uruguayan
usado	adj:used
ubicación	n:position
ubicar	v:to be located
ubicuidad	n:ubiquity
inane	adj:inane
ubicuo	adj:ubiquitous
ubre	n:udder
ucraniano	n:Ukrainian person|adj:Ukrainian
brécol	n:broccoli
ufano	v:only used in me ufano|adj:proud
quanto	n:quantum
ugandés	n:Ugandan|adj:Ugandan
ukelele	n:ukulele
úlcera	n:ulcer
ulceración	n:ulceration
ulteriormente	adv:subsequently
últimamente	adv:recently
ultimar	v:to kill
ultimátum	n:ultimatum
último	adj:final
breakdance	n:breakdance
bartender	n:bartender
ultrajar	v:to rape
insultar	v:to insult
ultraje	n:outrage
ultramar	n:abroad
ultranza	n:extreme
ultravioleta	adj:ultraviolet
ulular	v:to hoot
umbral	n:doorstep
unánime	adj:unanimous
unánimemente	adv:unanimously
unanimidad	n:unanimity
unción	n:unction
lector	n:reader|adj:reading
riesgo	n:chance
universo	n:universe
universitario	n:university student|adj:university
universidad	n:college
universalmente	adv:universally
unitario	n:Unitarian Universalist|adj:unitary
resto	n:rest
lograr	v:to be successful
pluscuamperfecto	n:pluperfect tense|adj:pluperfect
undécimo	n:eleventh|adj:eleventh
primero	adj:first|adv:first
tercero	n:third party|adj:third
cuarto	n:fourth|adj:fourth
sexto	n:sixth|adj:sixth
séptimo	n:seventh|adj:seventh
noveno	n:ninth|adj:ninth
décimo	n:tenth|adj:tenth
ábaco	n:abacus
abadesa	n:abbess
abadía	n:abbey
marginal	adj:marginal
anatolia	n:Anatolia
garage	n:garage
primo	n:cousin|adj:first
prima	n:female cousin
cabales	n:normal mental state
cabalgar	v:to ride an animal
cabalgata	n:ride
hidrógeno	n:hydrogen
helio	n:helium
litio	n:lithium
berilio	n:beryllium
boro	n:boron
carbono	n:carbon
nitrógeno	n:nitrogen
oxígeno	n:oxygen
flúor	n:fluorine
neón	n:neon
sodio	n:sodium
magnesio	n:magnesium
aluminio	n:aluminium
sudoku	n:sudoku
fósforo	n:phosphorus
azufre	n:sulfur
cloro	n:chlorine
argón	n:argon
titanio	n:titanium
vanadio	n:vanadium
cromo	n:chromium
manganeso	n:manganese
hierro	n:iron
cobalto	n:cobalt
cobre	n:copper (reddish-brown
cinc	n:zinc
galio	n:gallium
germanio	n:germanium
selenio	n:selenium
arsénico	n:arsenic
bromo	n:bromine
estroncio	n:strontium
circonio	n:zirconium
niobio	n:niobium
molibdeno	n:molybdenum
rodio	n:rhodium|adj:Rhodian (of
paladio	n:palladium
cadmio	n:cadmium
indio	n:a native of India|adj:Indian
estaño	n:tin
cesio	n:caesium
bario	n:barium
tantalio	n:tantalum
osmio	n:osmium
iridio	n:iridium
platino	n:platinum|adj:Platine
mercurio	n:mercury
talio	n:thallium
plomo	n:lead
polonio	n:polonium
radón	n:radon
cerio	n:cerium
neodimio	n:neodymium
prometio	n:promethium
samario	n:samarium|adj:of
gadolinio	n:gadolinium
tulio	n:thulium
torio	n:thorium
plutonio	n:plutonium
laurencio	n:lawrencium
doler	v:to hurt
identikit	n:identikit
provincial	adj:provincial
pastis	n:pastis
polis	n:polis
corto	n:short|adj:short
odio	n:hate
parte	n:part
hp	n:HP
detroit	n:Detroit
gaga	n:female equivalent of gago
evidente	adj:obvious
eterno	adj:eternal
bugle	n:a bugle
gusto	n:taste
bikini	n:bikini
maple	n:maple syrup
pubis	n:pubis
ping-pong	n:ping pong
fumo	n:smoke
cubrir	v:to cover
afer	n:affair
cáncer	n:cancer
gazebo	n:gazebo
tandem	n:tandem
cabal	adj:upright|adv:exactly
juan	n:John
experimental	adj:experimental
nosotros	?:we
vosotros	?:you
pronombre	n:pronoun
bestseller	n:bestseller
elles	?:they
banco	n:bank
bastardo	n:bastard|adj:bastard
dita	n:debt
centro	n:center
cerco	n:ring
sahara	n:Sahara
mucho	adv:much|?:much
proteinuria	n:proteinuria
vario	adj:various
pedigree	n:pedigree
nobel	n:Nobel Prize
glacial	adj:glacial
patente	n:patent|adj:patent
postal	n:postcard|adj:postal
morfar	v:to hog the ball
sample	n:sample
medley	n:medley
scroll	n:scroll
falso	adj:false
anc	n:Catalan National Assembly
marshmallow	n:marshmallow
tabular	v:to tab out|adj:tabular
columnar	adj:columnar
piercing	n:piercing
ka	n:Name of the letter k
clerical	adj:clergy
industria	n:industry
tragedia	n:tragedy
shorts	n:shorts
inundación	n:inundation
cis-	?:cis-
trans-	?:trans-
valle	n:valley
pene	n:penis
perdurable	adj:durable
triangular	v:to triangulate|adj:triangular
brillante	n:diamond|adj:bright
solar	n:ground|v:to sole a shoe|adj:solar
transcendental	adj:transcendental
amanda	n:a female given name
script	n:script supervisor
thriller	n:thriller
machismo	n:male chauvinism
filipinas	n:Philippines
neuro-	?:neuro-
chili	n:chili
fortuna	n:fortune
poso	n:dregs
piropo	n:compliment
mastitis	n:mastitis
decir	n:saying|v:to be said
betelgeuse	n:Betelgeuse
episodio	n:episode
ama	n:lady of the house
transcontinental	adj:transcontinental
tonal	adj:tonal
presente	n:present|adj:present
cringe	n:cringe|adj:cringy
-algia	?:-algy
bacterial	adj:bacterial
bacterio-	?:bacterio-
convertible	n:convertible|adj:convertible
genital	n:genital|adj:genital
kan	n:khan
joder	v:to be very annoying|adv:the fuck|?:fuck!
mata	n:shrub
meta	n:goal
vaca	n:cow
becerro	n:calf
vacuno	n:bovine|adj:bovine
vacación	n:vacation
vacacionar	v:to go on vacation
vacante	n:vacancy|adj:vacant
exigir	v:to be required
sable	n:sable|adj:sable
sinusoidal	adj:sinusoidal
quesadilla	n:quesadilla
mish	n:kitten
expertise	n:expertise
pedal	n:pedal
murmullo	n:murmur
murmurar	v:to gossip
fu	?:an indication of disgust
abrir	n:the act of opening|v:to start
reabrir	v:to reopen
escribir	v:to write (to form letters
matemáticas	n:mathematics
puntuar	v:to score or gain points
ropa	n:garment
traje	n:suit
guante	n:glove
corbata	n:necktie
peor	adj:worse|adv:worse
oír	v:to hear
unisex	adj:unisex
ande	adv:where
alfa	n:alpha
realzar	v:to raise
civilización	n:civilization
archi-	?:archi-
zorra	n:slut
número	n:number
arte	n:art
rosales	n:a surname
transistor	n:transistor
redox	adj:redox
scouting	n:scouting
dominatrix	n:dominatrix
amasar	v:to amass
hablador	n:talker|adj:talkative
ñame	n:yam
ñapa	n:Something that is added
trading	n:trading
élite	n:elite
esdras	n:Ezra
ringtone	n:ringtone
airbag	n:airbag
transportable	adj:transportable
trivia	n:trivia
favorable	adj:favorable
infinitesimal	adj:infinitesimal
monopolio	n:monopoly
abofetear	v:to slap
aburrir	v:to be bored
acabar	v:to have just
fusible	n:fuse|adj:fusible
reproducible	adj:reproducible
elemento	n:element
descubrir	v:to reveal
medicinal	adj:medicinal
bis	n:encore
tris	n:crack
caballar	adj:equine
equino	n:equine|adj:equine
caballa	n:mackerel
fábrica	n:factory
factoría	n:factory
gallina	n:hen
cadena	n:necklace
llevar	v:to be in
perdido	adj:lost
papel	n:paper
traer	v:to have
papelito	n:piece of paper
condena	n:sentence
sábalo	n:shad
sabana	n:savanna
sábana	n:sheet
sabandija	n:pest
sabedor	adj:aware
sabelotodo	n:know-it-all
sabiamente	adv:wisely
sabido	adj:well-known
sabiduría	n:wisdom
sabiendas	n:only used in a sabiendas
sabio	n:learned person|adj:learned
sabor	n:flavor
saborear	v:to taste
sabotaje	n:sabotage
saboteador	n:saboteur
sabotear	v:to sabotage
sabroso	adj:delicious
sabueso	n:bloodhound
sacacorchos	n:corkscrew
jaja	?:haha
jabalí	n:wild boar
jabalina	n:javelin
jabón	n:soap
jaca	n:pony
jacinto	n:hyacinth
jactancia	n:boastfulness
pago	n:pay
jactancioso	n:braggart|adj:boastful
jadear	v:to gasp
jadeante	adj:panting
jadeo	n:a pant
jaiba	n:crab
jalar	v:to work
jalea	n:jelly
jaleo	n:ruckus
jalón	n:milestone
jamaicano	n:Jamaican|adj:Jamaican
jamaiquino	n:Jamaican|adj:Jamaican
jamás	adv:never
jamba	n:jamb|v:only used in se jamba
jamón	n:ham
jaque	n:check
jaqueca	n:headache
jarabe	n:syrup
jarana	n:a small guitar
jarcia	n:rigging
jardín	n:garden
jardinería	n:gardening
jardinero	n:gardener
jarra	n:jug
jarro	n:jug
jarrón	n:vase
jaspe	n:jasper
jaspeado	adj:streaked
jaula	n:cage
jauría	n:pack
jazmín	n:jasmine
jefatura	n:leadership
jefe	n:chief
jehová	n:Jehovah
jengibre	n:ginger
jeque	n:sheik
jerarca	n:leader
jerarquía	n:hierarchy
jerárquico	adj:hierarchical
jerga	n:jargon
jerigonza	n:jargon
jeringa	n:syringe
jeroglífico	n:hieroglyphic|adj:hieroglyphic
jesuita	n:Jesuit|adj:Jesuit
jesús	n:Jesus|?:bless you
jeta	n:snout
jíbaro	n:drug trafficker|adj:rustic
jícama	n:jicama
jícara	n:a small
jilguero	n:European goldfinch
jinete	n:horseman
jira	n:picnic
jirafa	n:giraffe
jirón	n:rag
jitomate	n:tomato
jocosidad	n:jocularity
jocoso	adj:jocular
jocosamente	adv:jocularly
jolgorio	n:merrymaking
jonrón	n:home run
jordano	n:Jordanian|adj:Jordanian
jornada	n:day
jornal	n:a day's pay
jornalero	n:day laborer
joroba	n:hump
jorobado	n:humpback|adj:humpbacked
jorobar	v:to be annoying
jota	n:jot
jovialidad	n:cheerfulness
joyería	n:jewelry shop / store
joya	n:jewellery|adj:awesome
joyero	n:jeweler
juanete	n:bunion
jubilación	n:retirement
jubilado	n:retiree|adj:retired
jubilar	v:to get rid of
jubileo	n:jubilee
júbilo	n:jubilation
jubiloso	adj:jubilant
judaico	adj:Jewish
judaísmo	n:Judaism
judía	n:green bean
judío	n:Jew|adj:Jewish
judicatura	n:judiciary
judicialmente	adv:judicially
juego	n:play
juerga	n:spree
juerguista	n:reveller
jugada	n:play
jugador	n:player
jugarreta	n:prank
juglar	n:minstrel
jugo	n:juice
jugosidad	n:juiciness
jugoso	adj:juicy
juguete	n:toy
juguetear	v:to play
juguetería	n:toy shop
juguetón	n:Vixen|adj:playful
juguetonamente	adv:playfully
juicio	n:good judgement
juicioso	adj:judicious
julio	n:July
febrero	n:February
junio	n:June
septiembre	n:September
octubre	n:October
noviembre	n:November
diciembre	n:December
juncia	n:sedge
divertimento	n:divertimento
jungla	n:jungle
junquillo	n:jonquil
juntamente	adv:together
juntar	v:to close partway
mani	n:protest
alicia	n:a female given name
juntura	n:joint
júpiter	n:Jupiter
marte	n:Mars
saturno	n:Saturn
neptuno	n:Neptune
plutón	n:Pluto
jurar	v:to swear
jurídico	adj:juridical
jurisdicción	n:jurisdiction
jurisdiccional	adj:jurisdictional
justa	n:tournament
justamente	adv:justly
justiciero	n:vigilante|adj:righteous
justificable	adj:justifiable
justificación	n:justification
justificante	n:justification
justificar	v:to account for
justo	n:a male given name|adj:just|adv:right
juvenil	adj:juvenile
juventud	n:youth
juzgar	v:to try (a case)
cripto	n:crypto
qué	adv:what a|?:what
quebracho	n:quebracho
quebrada	n:gorge
quebradizo	adj:brittle
quebrado	n:hernia|adj:bankrupt
boba	n:female equivalent of bobo
quebrantamiento	n:brokenness
quebranto	n:a break
quebrar	v:to break
queda	n:curfew
ñoño	adj:whiny
quedar	v:to be situated
quedo	adj:quiet|adv:quietly
quehacer	n:work
queja	n:complaint|v:only used in se queja
quejarse	v:to complain
quejido	n:groan
quejoso	adj:whining
vida	n:life
clandestino	n:one who is clandestine|adj:clandestine
norte	n:north|adj:north
oeste	n:west
burlar	v:to make fun of
dejar	v:to be left
verdad	n:truth|?:right
siglo	n:century
década	n:decade
verdadero	adj:true
testicular	adj:testicular
muñeco	n:doll
esposa	n:wife
esposo	n:husband
esposas	n:handcuffs
marido	n:husband
quema	n:fire
quemado	adj:burnt
quemador	n:burner|adj:burning
quemadura	n:burn
quemar	v:to be very hot
quemazón	n:great heat
quena	n:pan flute
querella	n:lawsuit|v:only used in se querella
querellante	n:plaintiff
querellarse	v:to sue
querido	n:sweetheart|adj:dear
queroseno	n:kerosene
querubín	n:cherub
quesería	n:cheese shop
quicio	n:doorjamb
quiebra	n:crack
quien	?:who
quienquiera	?:whoever
quieto	adj:calm
quietud	n:calm
quijada	n:jaw
quijotesco	adj:quixotic
quilate	n:karat
quilla	n:keel
quimera	n:chimera
química	n:chemistry
químico	n:chemist|adj:chemical
quimioterapia	n:chemotherapy
quince	n:fifteen
quinceañero	n:fifteen-year-old
amniocentesis	n:amniocentesis
antisocial	adj:antisocial
quincena	n:a period of fifteen days
quincenal	adj:twice a month
quincuagésimo	n:fiftieth|adj:fiftieth
quiniela	n:a sporting bet or pool
quinientos	n:five hundred
quinina	n:quinine
quino	n:cinchona
quinquenal	adj:quinquennial
quinta	n:villa
quintaesencia	n:quintessence
quintal	n:quintal
quinteto	n:quintet
quiosco	n:kiosk
quirófano	n:operating room
quiromancia	n:palm reading
quiropráctico	n:chiropractor|adj:chiropractic
quirúrgico	adj:surgical
quirúrgicamente	adv:surgically
quisquilloso	n:fussy person|adj:nitpicking
quiste	n:cyst
quitaesmalte	n:nail polish remover
quitamanchas	n:stain remover
quitanieves	n:snow plow (US)
quitar	v:to be removed
quiteño	adj:of
quizá	adv:perhaps
