's	?:ин
ancientness	?:дре́вность
ancillary	?:вспомогательный
ancona	?:Анко́на
anconeus	?:локтева́я мы́шца
ancus	?:Анк
and	?:но
andalusia	?:Андалусия
andalusite	?:андалузи́т
andaman	?:андама́нский
anderlecht	?:Андерлехт
andersen	?:А́ндерсен
anderson	?:Андре́ев
andes	?:Анды
andesite	?:андези́т
andijan	?:Андижан
andorra	?:Андорра
andorran	?:андо́ррский
andrew	?:Андрей
andrewsarchus	?:эндрюса́рх
andrey	?:Андре́й
andriy	?:Андрей
androgen	?:андроге́н
androgyne	?:андроги́н
androgynous	?:двупо́лый
androgyny	?:андрогиния
android	?:андроид
andrology	?:андроло́гия
andromache	?:Андромаха
andromeda	?:Андромеда
andronicus	?:Андро́ник
andropause	?:возрастно́й андроге́нный дефици́т
androphobia	?:андрофо́бия
androsphinx	?:андросфинкс
andrushivka	?:Андрушёвка
andøya	?:А́ннёйа
ane	?:а́н
anecdotal	?:несистемати́ческий
anecdote	?:анекдо́т
anechoic	?:безэховый
anecumene	?:анойкуме́на
anemia	?:анемия
anemic	?:малокро́вный
anemo-	?:ветро-
anemograph	?:анемо́граф
anemometer	?:анемо́метр
anemometry	?:анемоме́трия
anemone	?:анемо́н
anemophilous	?:анемофи́льный
anesthesia	?:анестези́я
anesthesiologist	?:анестезио́лог
anesthesiology	?:анестезиоло́гия
anesthetic	?:анестези́рующий
anesthetist	?:анестезио́лог
anesthetization	?:анестези́я
anesthetize	?:анестези́ровать
anestrus	?:анэ́струс
aneurysm	?:аневризма
anew	?:вновь
angara	?:Ангара́
angat	?:Ангат
angel	?:ангел
angela	?:А́нгела
angeles	?:Анхелес
angelfish	?:скаля́рия
angelic	?:а́нгельский
angelica	?:Анжелика
angelina	?:Ангели́на
angellike	?:ангелоподо́бный
angelology	?:ангелоло́гия
anger	?:гнев
angina	?:анги́на
angiographic	?:ангиографический
angiography	?:ангиография
angiology	?:ангиоло́гия
angioma	?:ангиома
angiopathy	?:ангиопатия
angiosperm	?:покрытосеменно́е расте́ние
angklung	?:ангклунг
angle	?:англ
angler	?:уди́льщик
anglerfish	?:ры́ба-уди́льщик
angleton	?:Англтон
angleworm	?:[[червя́к]] для [[наживка|нажи́вки]]
anglican	?:англика́нский
anglicanism	?:англика́нство
anglicisation	?:англиза́ция
anglicise	?:англизи́ровать
anglicised	?:англизи́рованный
anglicism	?:англици́зм
anglo-	?:а́нгло-
anglo-american	?:англо-америка́нский
anglo-norman	?:англо-норма́ннский
anglo-saxon	?:англосаксо́нский
anglocentrism	?:англоцентри́зм
anglomania	?:англомания
anglophile	?:англофи́л
anglophobe	?:англофо́б
anglophobia	?:англофо́бия
anglophone	?:англоговоря́щий
anglosphere	?:англосфе́ра
angola	?:Ангола
angolan	?:анго́льский
angora	?:Ангорский кро́лик
angrapa	?:Ангра́па
angren	?:Ангре́н
angrily	?:гне́вно
angry	?:злой
angst	?:грусть
angstrom	?:ангстрем
anguilla	?:Анги́лья
anguish	?:му́ка
anguished	?:страда́ющий
angular	?:углово́й
angustifolious	?:узколи́стный
anhedonia	?:ангедония
anhinga	?:америка́нская змееше́йка
anhui	?:Аньхо́й
anhydrase	?:ангидраза
anhydride	?:ангидрид
anicca	?:ани́тья
anidulafungin	?:анѝдулафунги́н
anile	?:стару́шечий
aniline	?:анили́н
anilingus	?:анили́нгус
anima	?:а́нима
animacy	?:одушевлённость
animadversion	?:кри́тика
animadvert	?:критико́вать
animal	?:зверь
animalistic	?:анималисти́ческий
animate	?:живо́й
animated	?:оживлённый
animation	?:одушевле́ние
animator	?:анима́тор
animatronic	?:аниматро́нный
animatronics	?:аниматро́ника
anime	?:аниме́
animism	?:аними́зм
animosity	?:вражде́бность
animus	?:вражда́
anion	?:анион
anionic	?:анио́нный
anise	?:анис
aniseed	?:ани́с
anisette	?:ани́совая
anisocoria	?:анизокори́я
anisogamy	?:анизога́мия
anisophylly	?:анизофиллия
anisotropy	?:анизотропи́я
anjou	?:Анжу́
ankara	?:Анкара
ankh	?:анх
ankle	?:лоды́жка
ankle-deep	?:по щи́колотку
anklebone	?:тара́нная кость
anklet	?:[[ножно́й]] [[брасле́т]]
ankou	?:Анку́
ankylosaurus	?:анкилозавр
ankylosis	?:анкило́з
anlaut	?:инициа́ль
ann	?:Энн
anna	?:А́нна
annal	?:анна́лы
annalist	?:летопи́сец
annals	?:анна́лы
annam	?:Анна́м
annamese	?:анна́мский
annamite	?:аннами́тский
annapolis	?:Аннаполис
annas	?:Анна
annatto	?:анна́то
anneal	?:отжига́ть
annealing	?:о́тжиг
annelid	?:аннели́д
annex	?:приложе́ние
annexation	?:присоедине́ние
annihilate	?:истреби́ть
annihilation	?:истребле́ние
anniversary	?:годовщина
annotation	?:аннота́ция
announce	?:объявля́ть
announcement	?:объявле́ние
announcer	?:ведущий
annoy	?:беспоко́ить
annoyance	?:доса́да
annoyed	?:раздражённый
annoying	?:доку́чливый
annual	?:годи́чный
annually	?:ежего́дно
annul	?:аннули́ровать
annular	?:кольцеви́дный
annulment	?:аннули́рование
annulus	?:коле́чко
annunciate	?:объявля́ть
annunciation	?:благове́щение
anoa	?:ано́а
anocracy	?:анократия
anode	?:анод
anodic	?:ано́дный
anodization	?:анодирование
anodon	?:беззу́бка
anodontia	?:адентия
anodyne	?:болеутоля́ющий
anoint	?:сма́зать
anointed	?:нама́занный
anole	?:анолис
anomalous	?:анома́льный
anomaly	?:аномалия
anomie	?:аноми́я
anon	?:то́тчас
anonym	?:анони́м
anonymity	?:анонимность
anonymizer	?:анонима́йзер
anonymous	?:анонимный
anonymously	?:анони́мно
anopheles	?:ано́фелес
anorak	?:анора́к
anorectal	?:аноректа́льный
anorectic	?:анорексический
anorexia	?:аноре́ксия
anorthosite	?:анортози́т
anosmia	?:аносмия
anosognosia	?:анозогнози́я
another	?:друго́й
anoxia	?:анокси́я
anschluss	?:а́ншлюс
anserine	?:гуси́ный
anshan	?:Аньша́нь
ansible	?:аппарат мгновенной связи
answer	?:ответ
ant	?:муравей
antacid	?:антаци́д
antagonism	?:антагони́зм
antagonist	?:антагонист
antalya	?:Анта́лья
antananarivo	?:Антананари́ву
antarctic	?:антаркти́ческий
antarctica	?:Антарктида
antares	?:Антарес
ante	?:делать ставку
ante-	?:до-
anteater	?:муравьед
antebellum	?:довое́нный
antecedent	?:предше́ствующий
antechamber	?:прихо́жая
antechinus	?:сумчатые мыши
antedate	?:предше́ствовать
antediluvian	?:допотопный
antefix	?:антефи́кс
antelope	?:антилопа
antenna	?:ус
antepenultimate	?:предпредпосле́дний
anterior	?:передний
anteroposterior	?:переднеза́дний
anthelmintic	?:антигельми́нтный
anthem	?:гимн
anther	?:пыльник
anthill	?:муравейник
anthology	?:антология
anthony	?:Анто́н
anthracene	?:антраце́н
anthracite	?:антраци́т
anthrax	?:сибирская язва
anthropo-	?:антропо-
anthropocene	?:Антропоце́н
anthropocentric	?:антропоцентрический
anthropocentrism	?:антропоцентри́зм
anthropochory	?:антропохори́я
anthropogenic	?:антропоге́нный
anthropogeny	?:антропогенез
anthropoid	?:человекообра́зный
anthropological	?:антропологический
anthropologist	?:антрополог
anthropology	?:антропология
anthropometric	?:антропометрический
anthropomorphic	?:антропомо́рфный
anthropomorphism	?:антропоморфи́зм
anthropomorphize	?:очелове́чивать
anthroponym	?:антропо́ним
anthroponymy	?:антропони́мика
anthropopathy	?:антропопатия
anthroposophy	?:антропосо́фия
anthroposphere	?:антропосфе́ра
anti-	?:анти-
anti-aging	?:омолаживающий
anti-aircraft	?:зени́тный
anti-americanism	?:антиамериканизм
anti-christian	?:антихристиа́нский
anti-european	?:антиевропе́йский
anti-fascism	?:антифашизм
anti-gay	?:антиге́йский
anti-german	?:антигерма́нский
anti-gravity	?:антигравита́ция
anti-imperialism	?:антиимпериали́зм
anti-inflammatory	?:противовоспалительное средство
anti-intellectualism	?:антиинтеллектуали́зм
anti-islamic	?:антиисла́мский
anti-lebanon	?:Антилива́н
anti-militarism	?:антимилитари́зм
anti-natalism	?:антинатали́зм
anti-personnel	?:противопехо́тный
anti-semite	?:антисеми́т
anti-semitic	?:антисемитский
anti-semitism	?:антисемити́зм
anti-slavism	?:антиславянизм
anti-soviet	?:антисове́тский
anti-taurus	?:Антита́вр
anti-trumpism	?:антитрампи́зм
anti-vaxxer	?:антива́ксер
anti-villain	?:антизлодей
anti-war	?:антивое́нный
anti-zionism	?:антисиони́зм
antialiasing	?:сглаживание
antiallergenic	?:противоаллергический
antiantibody	?:антиантите́ло
antiarmor	?:бронебо́йный
antiaromatic	?:антиаромати́ческий
antibacterial	?:антибактериальный
antibiotic	?:антибиотик
antibody	?:антитело
antic	?:клоун
anticaliph	?:антихали́ф
anticaliphate	?:антихалифа́т
anticancer	?:противора́ковый
antichrist	?:антихрист
anticipate	?:опереди́ть
anticipated	?:ожидаемый
anticipation	?:ожида́ние
anticlericalism	?:антиклерикали́зм
anticlimactic	?:разочаро́вывающий
anticlinal	?:антиклина́льный
anticline	?:антиклина́ль
anticlockwise	?:про́тив часово́й стре́лки
anticoagulant	?:антикоагуля́нт
anticommunism	?:антикоммуни́зм
anticompetitive	?:антиконкуре́нтный
anticonstitutional	?:антиконституционный
anticonstitutionally	?:антиконституцио́нно
anticorruption	?:антикоррупцио́нный
anticulture	?:антикультура
anticyclone	?:антицикло́н
antidepressant	?:антидепресса́нт
antiderivative	?:первообра́зная
antidote	?:противоя́дие
antiemetic	?:противорво́тный
antifa	?:Антифа́
antifascism	?:антифаши́зм
antifascist	?:антифашистский
antifeminism	?:антифемини́зм
antifibrinolytic	?:антифибринолити́ческий
antiflea	?:противоблоши́ный
antiflow	?:обратное течение
antifouling	?:противообраста́ющий
antifreeze	?:антифри́з
antifrost	?:противоморо́зный
antigen	?:антиген
antigenic	?:антиге́нный
antigenicity	?:антиге́нность
antigone	?:Антиго́на
antigovernment	?:антиправи́тельственный
antiguan	?:антигуанский
antigypsyism	?:антицыгани́зм
antihero	?:антигерой
antiheroine	?:антигерои́ня
antihijacking	?:антиуго́нный
antihistamine	?:антигистами́н
antihistaminic	?:антигистаминный
antillean	?:анти́льский
antilles	?:Анти́льские острова́
antimacassar	?:антимакассар
antimagnetic	?:антимагнитный
antimarxism	?:антимаркси́зм
antimatter	?:антивещество́
antimetabole	?:антимета́бола
antimicrobial	?:антимикро́бный
antimissile	?:противораке́тный
antimony	?:сурьма
antinatalism	?:антинатали́зм
antinatalist	?:антинатали́ст
antineutrino	?:антинейтрино
anting	?:муравле́ние
antinomian	?:антиноми́ст
antinomic	?:антиномический
antinomy	?:антино́мия
antinous	?:Антино́й
antinovel	?:антинове́лла
antinovelist	?:антироманист
antinuclear	?:антия́дерный
antioch	?:Антиохи́я
antiochian	?:антиохи́йский
antiochus	?:Антио́х
antioxidant	?:антиоксидант
antiparasitic	?:противопаразита́рный
antiparticle	?:античасти́ца
antipasto	?:заку́ска
antipater	?:Антипатр
antipathy	?:антипатия
antipattern	?:антипатте́рн
antipersonnel	?:противопехо́тный
antiphase	?:противофаза
antiplatelet	?:антитромбоцита́рный
antipode	?:антипод
antipodean	?:антипо́дный
antipope	?:антипа́па
antipopular	?:а̀нтинаро́дный
antiprism	?:антипри́зма
antiproton	?:антипрото́н
antipsychotic	?:антипсихо́тик
antipyretic	?:антипире́тик
antiquarian	?:антиква́рный
antiquarianism	?:антиквариани́зм
antiquark	?:антиква́рк
antiquary	?:антиква́р
antiquated	?:старомо́дный
antique	?:анти́чный
antiquity	?:дре́вность
antirealism	?:а̀нтиреали́зм
antireligious	?:антирелигиозный
antiscientific	?:противонау́чный
antisepsis	?:антисе́птика
antislavism	?:антиславянизм
antisocial	?:антиобще́ственный
antispammer	?:антиспа́мер
antispast	?:антиспа́ст
antistatic	?:антистати́ческий
antisthenes	?:Антисфе́н
antisymmetric	?:антисимметри́чный
antitank	?:противота́нковый
antiterrorism	?:антитеррори́зм
antiterrorist	?:антитеррористический
antitetanic	?:противостолбня́чный
antitheft	?:антикра́жный
antitheism	?:антитеи́зм
antitheist	?:антитеи́ст
antithesis	?:антите́за
antithetical	?:антитетический
antitheticality	?:антите́зность
antithetically	?:антите́зно
antitragus	?:противокозело́к
antitumor	?:противоо́пухолевый
antitussive	?:[[лека́рство]] от [[ка́шля]]
antivaccinationist	?:антива́ксер
antiviral	?:антиви́русный
antivirus	?:антиви́рус
antler	?:рог
antlia	?:Насо́с
antlion	?:муравьиный лев
antly	?:муравьи́ный
antoinette	?:Антуанéт
antonina	?:Антони́на
antonius	?:Анто́ний
antonym	?:антоним
antonymy	?:антоними́я
antratsyt	?:Антраци́т
antsy	?:беспоко́йный
antthrush	?:муравьело́вковый
antwerp	?:Антверпен
anubis	?:Ану́бис
anus	?:а́нус
anusvara	?:анусва́ра
anvil	?:наковальня
anxiety	?:страх
anxious	?:стремиться
any	?:ещё
anya	?:А́ня
anybody	?:ши́шка
anybody's	?:че́й-ли́бо
anyhow	?:так и́ли ина́че
anyone	?:вся́кий
anything	?:всё
anytime	?:всегда́
anyway	?:кста́ти
anywhere	?:где-ли́бо
ançã	?:Анса́н
ao	?:АО
aomori	?:Ао́мори
aorist	?:аорист
aorta	?:аорта
aortic	?:аорта́льный
aos	?:ао́с
aosta	?:Ао́ста
apace	?:быстро
apache	?:апа́чи
apadana	?:апада́на
apanage	?:апанаж
apar	?:шарови́дный бронено́сец
aparan	?:Апара́н
aparo	?:Апаро
apart	?:вон
apartheid	?:апартеид
apartment	?:апартаме́нт
apatheia	?:апатия
apatheism	?:апатеи́зм
apathetic	?:апати́чный
apathy	?:апатия
apatite	?:апатит
apc	?:БТР
ape	?:обезья́на
apec	?:АТЭ́С
apeirogon	?:апейрого́н
apeman	?:обезьяночелове́к
apennines	?:Апеннины
aperture	?:затвор
apex	?:пик
aphagia	?:афа́гия
aphantasia	?:афантазия
aphasia	?:афазия
aphelion	?:афе́лий
apheresis	?:афере́з
aphid	?:тля
aphodiine	?:афодии́на
aphonia	?:афони́я
aphonic	?:афони́ческий
aphorism	?:афоризм
aphoristic	?:афористи́чный
aphotic	?:афотический
aphrodisiac	?:афродизиак
aphrodite	?:Афродита
aphthous	?:афто́зный
apia	?:А́пиа
apian	?:пчели́ный
apiary	?:па́сека
apical	?:апика́льный
apitherapy	?:апитерапи́я
aplanat	?:аплана́т
aplenty	?:предостаточно
aplomb	?:апло́мб
apnea	?:апноэ
apocalypse	?:апокалипсис
apocalyptic	?:апокалипти́ческий
apocatastasis	?:апоката́стасис
apocope	?:апоко́па
apocrypha	?:апо́криф
apocryphal	?:апокрифический
apodictic	?:аподикти́ческий
apogee	?:апогей
apograph	?:апо́граф
apoliticism	?:аполити́чность
apollo	?:Аполлон
apollonia	?:Аполло́ния
apollonian	?:аполлони́ческий
apologetic	?:извиня́ющийся
apologetics	?:апологе́тика
apologist	?:апологе́т
apologize	?:извини́ться
apologue	?:аполо́г
apology	?:извине́ние
apophasis	?:апофа́зия
apophenia	?:апофени́я
apophis	?:Апе́п
apophyge	?:апофи́га
apophysis	?:апо́физ
apoplexy	?:апопле́кси́я
apoptosis	?:апопто́з
aporia	?:апори́я
aporophobia	?:апорофо́бия
aposematic	?:апосематический
aposiopesis	?:апозиопе́зис
apostasy	?:отсту́пничество
apostate	?:отсту́пнический
apostilb	?:апости́льб
apostille	?:апо́стиль
apostle	?:апостол
apostolic	?:апостольский
apostolove	?:Апо́столово
apostrophe	?:апостроф
apothegm	?:изрече́ние
apothem	?:апофе́ма
apotheosis	?:апофеоз
app	?:приложе́ние
appalachians	?:Аппала́чи
appall	?:потряса́ть
appalling	?:отта́лкивающий
apparatchik	?:аппара́тчик
apparatus	?:аппарат
apparel	?:оде́жда
apparent	?:ви́димый
apparently	?:говорят
apparition	?:появле́ние
appeal	?:привлека́тельность
appealing	?:привлекательный
appear	?:появля́ться
appearance	?:появле́ние
appease	?:умиротвори́ть
appeasement	?:умиротворе́ние
appeaser	?:умиротвори́тель
appellate	?:апелляцио́нный
appellation	?:назва́ние
appellative	?:апелляти́вный
append	?:добавлять
appendage	?:отро́сток
appendectomy	?:аппендэктоми́я
appendicitis	?:аппендицит
appendix	?:дополне́ние
apperception	?:апперце́пция
appertain	?:относи́ться
appetite	?:аппетит
appetizer	?:аперити́в
appetizing	?:аппети́тный
appetizingness	?:аппетитность
appian	?:Аппиа́н
appius	?:А́ппий
applaud	?:аплоди́ровать
applause	?:аплодисме́нты
apple	?:яблоко
apple-cheeked	?:румя́ный
apple-green	?:я́блочно-зелёный
applegate	?:Э́пплгейт
applejack	?:я́блочная во́дка
applet	?:а́плет
applewood	?:я́блоня
appliance	?:прибо́р
applicable	?:подходя́щий
applicant	?:заявитель
application	?:применение
applied	?:практи́ческий
applique	?:апплика́ция
apply	?:прикла́дывать
appoint	?:предоставлять
appointment	?:договорённость
apportion	?:дели́ть
apposite	?:го́дный
appositeness	?:уме́стность
apposition	?:приложе́ние
appositive	?:приложе́ние
appraisal	?:оце́нка
appraise	?:оцени́ть
appreciable	?:заме́тный
appreciate	?:оце́нивать
appreciation	?:благода́рность
appreciator	?:цени́тель
apprehend	?:аресто́вывать
apprehension	?:постижение
apprehensive	?:боязли́вый
apprentice	?:подмасте́рье
apprenticeship	?:стажировка
apprise	?:оповести́ть
approach	?:подход
approachable	?:достижи́мый
approaches	?:заи́грывание
approaching	?:приближе́ние
approbation	?:одобре́ние
approbative	?:одобри́тельный
appropriate	?:подходя́щий
approval	?:одобре́ние
approve	?:одо́брить
approving	?:одобри́тельный
approvingly	?:одобри́тельно
approximate	?:приближаться
approximately	?:приблизи́тельно
approximation	?:аппроксима́ция
appurtenance	?:снаряжение
apraxia	?:апра́ксия
aprelivka	?:Апре́левка
apresyan	?:Апреся́н
apricot	?:абрикос
april	?:апрель
apron	?:пере́дник
apropos	?:подходя́щий
aprosexia	?:апрозекси́я
apsar	?:апса́р
apsara	?:апса́ра
apse	?:апси́да
apsis	?:апси́да
apt	?:подходя́щий
aptamer	?:аптаме́р
aptitude	?:скло́нность
aptly	?:удачно
aptness	?:приго́дность
apud	?:Used in scholarly
apuleius	?:Апуле́й
apulia	?:Апу́лия
apulian	?:апули́йский
apus	?:Райская Птица
apéritif	?:аперити́в
aqaba	?:Ака́ба
aqsaqal	?:аксака́л
aquaculture	?:аквакульту́ра
aquafaba	?:аквафáба
aqualung	?:аквала́нг
aquamarine	?:аквамарин
aquapark	?:аквапа́рк
aquaphobia	?:водобоя́знь
aquaponics	?:аквапоника
aquariology	?:аквариоло́гия
aquarist	?:аквариуми́ст
aquarium	?:аквариум
aquarius	?:Водолей
aquatic	?:аквати́ческий
aquatics	?:во́дные ви́ды спо́рта
aquatint	?:аквати́нта
aquavit	?:аквави́т
aqueduct	?:акведук
aqueous	?:во́дный
aquifer	?:аквифе́р
aquila	?:Орёл
aquiline	?:орли́ный
aquitaine	?:Аквита́ния
ar	?:ар
ara	?:Же́ртвенник
arab	?:ара́бский
araba	?:арба́
arabesque	?:арабе́ск
arabia	?:Ара́вия
arabian	?:ара́бский
arabic	?:арабский
arabicised	?:арабизи́рованный
arabisation	?:арабиза́ция
arabism	?:араби́зм
arabize	?:арабизи́ровать
arable	?:па́хотный
arabness	?:ара́бскость
arabo-	?:ара́бо-
arabophobia	?:арабофо́бия
arabophone	?:ара̀боязы́чный
aracan	?:Арака́н
arachne	?:Ара́хна
arachnid	?:паукообра́зное
arachnology	?:арахнология
arachnophobia	?:арахнофо́бия
arachosia	?:Арахоси́я
arad	?:A city in Israel.
aragatsotn	?:Арагацо́тн
aragon	?:Арагон
aragonese	?:араго́нский
aragonite	?:арагони́т
aragvi	?:Ара́гви
arak	?:ара́к
arakawa	?:Арака́ва
araks	?:Ара́кс
aralia	?:ара́лия
aram	?:Арам
aramaic	?:арамейский
aramaism	?:арамаи́зм
aramea	?:Араме́я
aramean	?:араме́йский
arancino	?:аранчи́ни
araneology	?:аранеология
araneomorph	?:аранеоморфный
aranga	?:аранга́с
arapaima	?:арапа́йма
ararat	?:Арарат
aratus	?:Арат
arbaces	?:Арба́к
arbalest	?:арбале́т
arbela	?:Арбе́лы
arbil	?:Эрби́ль
arbiter	?:арби́тр
arbitral	?:арбитра́жный
arbitrarily	?:произво́льно
arbitrary	?:произвольный
arbitration	?:арбитра́ж
arbitrator	?:арби́тр
arbor	?:ось
arboreal	?:древесный
arboretum	?:арборе́тум
arboriculturist	?:арбори́ст
arbovirus	?:арбови́рус
arbëresh	?:арбере́шский
arc	?:дуга
arcade	?:аркада
arcadia	?:Аркадия
arcadius	?:Арка́дий
arcady	?:Арка́дий
arcane	?:мисти́ческий
arccosine	?:аркко́синус
arccotangent	?:арккота́нгенс
arch	?:свод
arch-	?:сверх-
archaean	?:архе́йский
archaeolinguistics	?:археолингви́стика
archaeological	?:археологи́ческий
archaeologist	?:археолог
archaeology	?:археология
archaeon	?:архея
archaeophyte	?:археофит
archaic	?:архаи́чный
archaicity	?:архаичность
archaism	?:архаи́зм
archaization	?:архаиза́ция
archangel	?:архангел
archbishop	?:архиепископ
archbishopric	?:архиепи́скопство
archchancellor	?:эрцканцлер
archconservative	?:архиконсервати́вный
archdeacon	?:архидья́кон
archdiocese	?:архиепи́скопство
archdruid	?:архидруи́д
archduchess	?:эрцгерцоги́ня
archduchy	?:эрцге́рцогство
archduke	?:эрцгерцог
archenemy	?:закля́тый враг
archeopteryx	?:археопте́рикс
archer	?:лу́чник
archeress	?:лу́чница
archerfish	?:рыба-брызгу́н
archery	?:стрельба из лука
archetype	?:архетип
archi	?:арчи́нец
archi-	?:архи-
archilochus	?:Архило́х
archimandrite	?:архимандрит
archimedean	?:архиме́дов
archimedes	?:Архимед
archipelago	?:архипелаг
archiphoneme	?:архифоне́ма
archisynagogue	?:архисинаго́г
architect	?:архите́ктор
architectural	?:архитектурный
architecture	?:архитектура
architrave	?:архитра́в
archival	?:архи́вный
archive	?:архив
archivist	?:архива́риус
archmage	?:архима́г
archon	?:архонт
archontology	?:архонтология
archosaur	?:архоза́вр
archpriest	?:первосвяще́нник
archway	?:свод
archy	?:а́рхия
arcology	?:арколо́гия
arcosolium	?:аркосо́лий
arcsine	?:аркси́нус
arctangent	?:аркта́нгенс
arctic	?:Арктика
arcturus	?:Аркту́р
ard	?:ора́ло
ardahan	?:Ардахан
ardennes	?:Арде́нны
ardent	?:горя́чий
ardor	?:страсть
arduous	?:тяжёлый
ardèche	?:Арде́ш
are	?:ар
area	?:площадь
areca	?:aре́ка
areflexia	?:арефлекси́я
areflexic	?:арефлекси́вный
arena	?:аре́на
areo-	?:арео-
areocentric	?:ареоцентри́ческий
areola	?:арео́ла
areometer	?:арео́метр
areopagus	?:ареопа́г
ares	?:Арес
arete	?:арете́
arethusa	?:Арету́за
arezzo	?:Аре́ццо
arf	?:ав-а́в
argali	?:аргали́
argan	?:арга́н
argavand	?:Аргава́нд
argent	?:серебри́стый
argentina	?:Аргентина
argentine	?:аргентинский
argeș	?:А́рджеш
argh	?:ррр
argillaceous	?:гли́нистый
argillite	?:аргилли́т
arginine	?:аргинин
argo	?:Арго́
argolid	?:Арголи́да
argon	?:аргон
argonaut	?:аргона́вт
argos	?:А́ргос
argosy	?:судно
argot	?:сленг
arguable	?:доказу́емый
arguably	?:как мо́жно доказа́ть
argue	?:обсужда́ть
argument	?:спор
argumentation	?:аргумента́ция
argus	?:А́ргус
argyle	?:аргайл
arhat	?:арха́т
aria	?:ария
ariadne	?:Ариадна
arian	?:ариа́нский
ariana	?:Ариа́на
arianism	?:ариа́нство
arica	?:Ари́ка
arid	?:безво́дный
ariel	?:Ариэль
aries	?:Овен
arigato	?:аригато́
aril	?:ари́ллус
arinj	?:Ари́ндж
arise	?:встать
arista	?:ость
aristaeus	?:Аристей
aristarch	?:ариста́рх
aristarchus	?:Ариста́рх
aristocide	?:аристоцид
aristocracy	?:знать
aristocrat	?:аристокра́т
aristocratic	?:аристократический
aristophanes	?:Аристофан
aristotelianism	?:аристотели́зм
aristotle	?:Аристотель
arithmetic	?:арифметика
arity	?:а́рность
arius	?:А́рий
arizona	?:Аризона
arjuna	?:А́рджун
ark	?:ковчег
arkansas	?:Арканзас
arkhalig	?:архалу́к
arkhangelsk	?:Арха́нгельск
arm	?:рука
arm-wrestler	?:армре́стлер
armada	?:армада
armadillo	?:броненосец
armageddon	?:Армагеддо́н
armagnac	?:арманья́к
armament	?:вооружение
armamentarium	?:инструмента́рий
armature	?:я́корь
armavir	?:Армави́р
armband	?:нарука́вная повя́зка
armchair	?:кресло
armed	?:вооружённый
armenia	?:Армения
armenian	?:армянский
armenianness	?:армя́нскость
armenification	?:арменифика́ция
armenism	?:армени́зм
armenological	?:арменове́дческий
armenologist	?:армени́ст
armenophile	?:армянофи́л
armenophilia	?:армянофи́лия
armenophobe	?:армянофо́б
armenophobia	?:армянофо́бия
armenophobic	?:арменофо́бский
armful	?:бере́мя
armiansk	?:Армя́нск
armiger	?:оружено́сец
arminianism	?:арминианство
arminius	?:Арми́ний
armistice	?:переми́рие
armless	?:безру́кий
armlet	?:брасле́т
armlock	?:[[рыча́г]] [[локоть|ло́ктя]]
armor	?:доспех
armor-piercing	?:бронебойный
armored	?:бронево́й
armorer	?:оружейник
armorica	?:Аремо́рика
armoured	?:брониро́ванный
armoury	?:арме́рия
armpit	?:подмы́шка
armrest	?:подлоко́тник
army	?:армия
armyless	?:без а́рмии
arnhem	?:Арнем
arnica	?:а́рника
arnold	?:Арно́льд
aroma	?:аромат
aromanian	?:арому́н
aromatherapy	?:ароматерапия
aromatic	?:ароматный
aromatize	?:ароматизи́ровать
around	?:по
arousal	?:бо́дрствование
arouse	?:вы́звать
arowana	?:арава́на
arpeggio	?:арпеджио
arpent	?:арпан
arraign	?:обвини́ть
arraignment	?:предъявле́ние обвине́ния
arran	?:А́рран
arrange	?:располага́ть
arrangement	?:мера
arras	?:Арра́с
array	?:массив
arrear	?:обязанность
arrernte	?:аранда
arrest	?:задержа́ние
arrestee	?:ареста́нт
arretine	?:арети́нский
arrhythmia	?:аритмия
arrival	?:прие́зд
arrive	?:прибыва́ть
arrivederci	?:арриведе́рчи
arroba	?:арро́ба
arrogance	?:спесь
arrogant	?:высокоме́рный
arrogantly	?:высокоме́рно
arrogate	?:[[самонаде́янно]] [[претендова́ть]]
arrondissement	?:арондисма́н
arrow	?:стрелка
arrowhead	?:наконе́чник
arrowroot	?:мара́нта
arrowslit	?:амбразу́ра
arsaces	?:Арша́к
arsacid	?:Аршаки́д
arsehole	?:крети́н
arsenal	?:арсенал
arsenic	?:мышьяк
arsenius	?:Арсений
arsenopyrite	?:арсенопири́т
arshin	?:арши́н
arson	?:поджог
arsonist	?:поджига́тель
art	?:искусство
artashat	?:Арташа́т
artaxerxes	?:Артаксе́ркс
artel	?:артель
artemis	?:Артемида
artemisia	?:артеми́зия
artemius	?:Артём
arterial	?:артериальный
arteriole	?:артериола
arteriopathy	?:артериопатия
arteriosclerosis	?:артериосклеро́з
arteriosclerotic	?:артериосклеротический
artery	?:артерия
arthralgia	?:артралгия
arthritis	?:артрит
arthritism	?:артрити́зм
arthrology	?:синдесмология
arthropathy	?:артропатия
arthropod	?:членистоно́гое
arthur	?:Артур
artichoke	?:артишок
article	?:член
articulate	?:вырази́тельный
articulately	?:вня́тно
articulation	?:сочлене́ние
artifact	?:артефа́кт
artificial	?:искусственный
artificially	?:иску́сственно
artillery	?:артиллерия
artilleryman	?:артиллерист
artina	?:Арти́на
artiodactyl	?:парнокопы́тное
artisan	?:куста́рь
artisanal	?:кустарный
artist	?:худо́жник
artistic	?:художественный
artistry	?:артисти́зм
artless	?:бесхи́тростный
artsakh	?:Арца́х
artsakhian	?:арца́хский
artsyz	?:Арци́з
artuqid	?:артукидский
artwork	?:иску́сство
arty	?:богемный
aruba	?:Аруба
